                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.5302,                 1.4363,                 2.3078,                0.99704,                      1,                  0.995,                0.63775,                 1.2543,                 1.1013,                 1.9389,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2094,                  1.493,                 1.9416,                0.99689,                      1,                  0.995,                0.69263,                 1.0154,                 0.9739,                 1.8563,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0404,                 1.3418,                 1.7956,                0.99665,                      1,                  0.995,                 0.7722,                0.85861,                 1.0209,                 1.7962,               0.000218,               0.000218,               0.000218
                     93,                 1.2302,                 1.3592,                 1.9079,                0.99665,                      1,                  0.995,                 0.7722,                0.85861,                 1.0209,                 1.7962,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94365,                 1.2732,                  1.766,                0.99639,                      1,                  0.995,                0.78742,                0.86653,                 1.0658,                 1.7983,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0224,                  1.307,                   1.76,                0.99694,                      1,                  0.995,                 0.8016,                0.95196,                 1.0947,                 1.8119,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0089,                 1.3142,                 1.8179,                0.99717,                      1,                  0.995,                0.79746,                0.96697,                 1.1008,                 1.8067,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1155,                 1.2927,                 1.8185,                0.99717,                      1,                  0.995,                0.79746,                0.96697,                 1.1008,                 1.8067,               0.000119,               0.000119,               0.000119
                     98,                 1.1665,                 1.2663,                 1.8311,                0.99735,                      1,                  0.995,                 0.8091,                0.91911,                 1.0792,                 1.7864,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1102,                 1.2272,                 1.7277,                0.99756,                      1,                  0.995,                0.81781,                0.86555,                  1.055,                 1.7678,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0214,                 1.1742,                  1.773,                0.99758,                      1,                  0.995,                0.82324,                0.79829,                 1.0321,                 1.7493,               5.96e-05,               5.96e-05,               5.96e-05
