                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.51643,                0.31714,                 1.0032,                0.99838,                      1,                  0.995,                0.93941,                0.35866,                0.21881,                 0.9056,              0.0050896,              0.0050896,              0.0050896
                     64,                0.49203,                0.31684,                0.99042,                0.99678,                      1,                  0.995,                0.93751,                0.36136,                0.24884,                0.93372,              0.0050104,              0.0050104,              0.0050104
                     65,                0.49976,                0.31775,                 1.0068,                0.99823,                      1,                  0.995,                0.91789,                0.40826,                 0.2342,                0.93181,              0.0049312,              0.0049312,              0.0049312
                     66,                0.53831,                0.32849,                 1.0212,                 0.9984,                      1,                  0.995,                0.97248,                0.30783,                0.19958,                0.87279,               0.004852,               0.004852,               0.004852
                     67,                0.49692,                0.32218,                0.97647,                0.99845,                      1,                  0.995,                 0.9654,                0.34065,                0.23322,                 0.8962,              0.0047728,              0.0047728,              0.0047728
                     68,                0.49768,                0.31304,                0.98497,                0.99845,                      1,                  0.995,                0.97858,                0.29778,                0.24977,                0.88805,              0.0046936,              0.0046936,              0.0046936
                     69,                 0.4892,                0.30416,                0.99735,                0.99847,                      1,                  0.995,                0.95577,                0.34909,                0.23303,                0.91699,              0.0046144,              0.0046144,              0.0046144
                     70,                0.51295,                0.32204,                 1.0049,                0.99846,                      1,                  0.995,                0.95592,                0.32883,                0.20019,                0.92642,              0.0045352,              0.0045352,              0.0045352
                     71,                0.50664,                0.31084,                0.99757,                0.99845,                      1,                  0.995,                0.96298,                0.35831,                 0.2057,                0.91306,               0.004456,               0.004456,               0.004456
                     72,                0.50202,                0.31722,                0.99661,                0.99847,                      1,                  0.995,                0.97211,                0.31483,                0.20051,                0.89376,              0.0043768,              0.0043768,              0.0043768
                     73,                 0.5119,                0.32355,                 1.0098,                0.99836,                      1,                  0.995,                 0.9683,                0.27915,                0.17183,                0.87354,              0.0042976,              0.0042976,              0.0042976
                     74,                0.45976,                0.30601,                0.97704,                0.99839,                      1,                  0.995,                0.97045,                0.29171,                0.19032,                 0.8948,              0.0042184,              0.0042184,              0.0042184
                     75,                0.46428,                0.29485,                0.98002,                0.99813,                      1,                  0.995,                0.95495,                 0.2667,                0.19725,                0.88069,              0.0041392,              0.0041392,              0.0041392
                     76,                0.46771,                0.30106,                0.98454,                0.99837,                      1,                  0.995,                0.97485,                0.28572,                0.19768,                0.87435,                0.00406,                0.00406,                0.00406
                     77,                0.45374,                0.29417,                0.97738,                0.99831,                      1,                  0.995,                0.96129,                0.28319,                0.21752,                0.88751,              0.0039808,              0.0039808,              0.0039808
                     78,                0.45915,                0.29617,                0.96648,                0.99845,                      1,                  0.995,                0.97844,                0.26771,                0.18717,                0.87953,              0.0039016,              0.0039016,              0.0039016
                     79,                0.46679,                0.29134,                0.97851,                0.99849,                      1,                  0.995,                0.97341,                 0.2995,                0.20789,                0.89574,              0.0038224,              0.0038224,              0.0038224
                     80,                0.46264,                0.28959,                0.97686,                0.99844,                      1,                  0.995,                0.97141,                0.27225,                0.19003,                0.87515,              0.0037432,              0.0037432,              0.0037432
                     81,                0.45723,                 0.2928,                0.96528,                0.99848,                      1,                  0.995,                0.96209,                0.30643,                0.21827,                 0.8822,               0.003664,               0.003664,               0.003664
                     82,                0.46838,                0.29314,                0.98991,                0.99842,                      1,                  0.995,                0.97114,                0.31016,                0.20847,                0.88105,              0.0035848,              0.0035848,              0.0035848
                     83,                0.41979,                0.26893,                0.95179,                0.99844,                      1,                  0.995,                0.97295,                0.27207,                 0.2042,                0.86451,              0.0035056,              0.0035056,              0.0035056
                     84,                0.42763,                0.27397,                0.95411,                0.99847,                      1,                  0.995,                0.97135,                 0.2812,                0.18861,                0.86465,              0.0034264,              0.0034264,              0.0034264
                     85,                0.40835,                0.26485,                0.94695,                0.99842,                      1,                  0.995,                0.97188,                 0.3092,                0.20405,                0.88336,              0.0033472,              0.0033472,              0.0033472
                     86,                0.43705,                  0.275,                0.95309,                0.99837,                      1,                  0.995,                0.96107,                0.32174,                 0.2175,                0.89885,               0.003268,               0.003268,               0.003268
                     87,                0.41848,                0.26822,                0.96437,                0.99847,                      1,                  0.995,                 0.9718,                0.29212,                0.20248,                 0.8825,              0.0031888,              0.0031888,              0.0031888
                     88,                0.41006,                0.26746,                0.95171,                0.99841,                      1,                  0.995,                0.97317,                0.28398,                0.20898,                0.88739,              0.0031096,              0.0031096,              0.0031096
                     89,                0.41373,                0.26754,                0.96035,                 0.9984,                      1,                  0.995,                0.96388,                0.32162,                0.18467,                0.89117,              0.0030304,              0.0030304,              0.0030304
